bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,Links
1.0,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,439785960,9780439785969.0,eng,652.0,2095690.0,27591.0,9/16/2006,Scholastic Inc.,https://www.amazon.de/s?k=Harry+Potter+and+the+Half-Blood+Prince&i=audible&tag=x_gr_w_bb_audible-21&ref=x_gr_w_bb_audible-20
2.0,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,439358078,9780439358071.0,eng,870.0,2153167.0,29221.0,9/1/2004,Scholastic Inc.,https://www.amazon.de/s?k=Harry+Potter+and+the+Order+of+the+Phoenix&i=audible&tag=x_gr_w_bb_audible-21&ref=x_gr_w_bb_audible-20
4.0,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,9780439554893.0,eng,352.0,6333.0,244.0,11/1/2003,Scholastic,https://www.amazon.de/s?k=Harry+Potter+and+the+Chamber+of+Secrets&i=audible&tag=x_gr_w_bb_audible-21&ref=x_gr_w_bb_audible-20
5.0,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9780439655484.0,eng,435.0,2339585.0,36325.0,5/1/2004,Scholastic Inc.,https://www.amazon.de/s?k=Harry+Potter+and+the+Prisoner+of+Azkaban&i=audible&tag=x_gr_w_bb_audible-21&ref=x_gr_w_bb_audible-20
8.0,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,439682584,9780439682589.0,eng,2690.0,41428.0,164.0,9/13/2004,Scholastic,https://www.amazon.de/s?k=Harry+Potter+Boxed+Set%2C+Books+1-5&i=audible&tag=x_gr_w_bb_audible-21&ref=x_gr_w_bb_audible-20
9.0,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606,9780976540601.0,en-US,152.0,19.0,1.0,4/26/2005,Nimble Books,https://www.amazon.de/s?k=Unauthorized+Harry+Potter+Book+Seven+News&i=audible&tag=x_gr_w_bb_audible-21&ref=x_gr_w_bb_audible-20
10.0,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9780439827607.0,eng,3342.0,28242.0,808.0,9/12/2005,Scholastic,https://www.amazon.de/s?k=Harry+Potter+Collection&i=audible&tag=x_gr_w_bb_audible-21&ref=x_gr_w_bb_audible-20
12.0,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9780517226957.0,eng,815.0,3628.0,254.0,11/1/2005,Gramercy Books,https://www.amazon.de/s?k=The+Ultimate+Hitchhiker%27s+Guide&i=audible&tag=x_gr_w_bb_audible-21&ref=x_gr_w_bb_audible-20
13.0,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,9780345453747.0,eng,815.0,249558.0,4080.0,4/30/2002,Del Rey Books,https://www.amazon.de/s?k=The+Ultimate+Hitchhiker%27s+Guide+to+the+Galaxy&i=audible&tag=x_gr_w_bb_audible-21&ref=x_gr_w_bb_audible-20
14.0,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929.0,eng,215.0,4930.0,460.0,8/3/2004,Crown,https://www.amazon.de/s?k=The+Hitchhiker%27s+Guide+to+the+Galaxy&i=audible&tag=x_gr_w_bb_audible-21&ref=x_gr_w_bb_audible-20
16.0,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,739322206,9780739322208.0,eng,6.0,1266.0,253.0,3/23/2005,Random House Audio,https://www.amazon.de/s?k=The+Hitchhiker%27s+Guide+to+the+Galaxy&i=audible&tag=x_gr_w_bb_audible-21&ref=x_gr_w_bb_audible-20
18.0,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257,9780517149256.0,eng,815.0,2877.0,195.0,1/17/1996,Wings Books,https://www.amazon.de/s?k=The+Ultimate+Hitchhiker%27s+Guide+to+the+Galaxy&i=audible&tag=x_gr_w_bb_audible-21&ref=x_gr_w_bb_audible-20
21.0,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184.0,eng,544.0,248558.0,9396.0,9/14/2004,Broadway Books,https://www.amazon.de/s?k=A+Short+History+of+Nearly+Everything&i=audible&tag=x_gr_w_bb_audible-21&ref=x_gr_w_bb_audible-20
22.0,Bill Bryson's African Diary,Bill Bryson,3.44,767915062,9780767915069.0,eng,55.0,7270.0,499.0,12/3/2002,Broadway Books,https://www.amazon.de/s?k=Bill+Bryson%27s+African+Diary&i=audible&tag=x_gr_w_bb_audible-21&ref=x_gr_w_bb_audible-20
